0,1,2
,,WB Project Ratings and LessonsData visualization and dataset download for IEG's WB project ratings and lessons. These data are updated quarterly and annually for the RAP.View dashboard
,,WB Country Partnership Framework RatingsData visualization and dataset download for IEG's WB country strategy ratings. These data are also updated annually.View dashboard
,,"IFC Investment and Advisory Project RatingsFor the most recent IEG's IFC Investment and Advisory project ratings, please refer toChapter 3of IEG's latest RAP report."
,,"MIGA Project RatingsFor the most recent IEG's MIGA project ratings, please refer toChapter 3of IEG's latest RAP report."
